AccountOID,ConsumptionDate,Consumption
20753,2019-04-26,0.393
249897,2021-03-08,39.721
261206,2021-01-20,0.715
122982,2021-01-11,0.476
246066,2020-09-12,2.090
255086,2020-02-04,0.092
260185,2020-06-07,1.635
252287,2019-12-29,0.406
150998,2019-04-07,1.065
256946,2020-09-18,3.380
58197,2021-03-03,0.307
244899,2020-10-22,1.273
20342,2020-09-16,1.776
13155,2020-03-24,0.045
187271,2020-11-08,0.898
260417,2019-12-20,1.324
178474,2020-05-21,1.104
128194,2019-11-21,0.517
65583,2020-07-21,0.055
97105,2020-08-27,1.958
144822,2019-04-12,0.281
254538,2020-05-23,0.157
59449,2019-10-07,0.776
102613,2020-02-08,0.000
56796,2020-05-27,1.281
250004,2020-07-10,135.000
256970,2021-02-20,0.142
57653,2019-07-05,0.740
253177,2020-08-09,0.000
249660,2019-11-16,1.248
97105,2019-05-09,0.746
262259,2020-02-20,0.487
57653,2021-01-02,0.852
55005,2020-06-29,1.048
262259,2020-07-31,0.491
56988,2020-10-02,0.000
270305,2020-11-03,0.000
13636,2020-11-04,1.299
248365,2020-03-04,3.810
107142,2019-12-22,0.346
262835,2019-11-16,5.114
254538,2021-03-24,0.578
256156,2020-07-31,2.220
248696,2019-05-18,0.034
244899,2020-06-03,0.184
80569,2020-10-19,0.268
244680,2020-12-20,1.373
256156,2020-05-21,11.520
256872,2020-08-06,0.530
283681,2021-03-06,3.492
128194,2021-02-19,0.306
254812,2021-03-23,0.950
249397,2020-09-14,71.413
256919,2020-02-15,0.001
136213,2020-04-29,5.193
97105,2021-01-15,1.382
269752,2020-06-07,1.030
250004,2020-04-22,80.000
246032,2019-08-09,0.390
179630,2021-02-26,0.000
57653,2019-09-22,1.379
57653,2020-12-24,0.704
112490,2020-01-24,0.331
5493,2020-12-30,0.001
254538,2020-08-11,1.283
259030,2020-08-30,0.130
